#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# ID = a unique integer identifier for the robot
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#    BOSS = BOSS Fiber (no APOGEE fiber)
#    Fiducial = Fixed Illuminated Fiducial
# Sextant = sextant number (-1 for fiducials)
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# ID     Row   Pos     X (mm)  Y (mm)          Assignment     Sextant
 267      13    0     -168.0   252.1866               BA          4
 268      13    1     -145.6   252.1866               BA          4
 269      13    2     -123.2   252.1866             BOSS          4
 270      13    3     -100.8   252.1866             BOSS          4
 271      13    4      -78.4   252.1866             BOSS          4
 272      13    5      -56.0   252.1866             BOSS          4
 273      13    6      -33.6   252.1866               BA          4
 274      13    7      -11.2   252.1866             BOSS          4
 275      13    8       11.2   252.1866             BOSS          4
 276      13    9       33.6   252.1866               BA          4
 277      13   10       56.0   252.1866             BOSS          4
 278      13   11       78.4   252.1866             BOSS          4
 279      13   12      100.8   252.1866             BOSS          4
 280      13   13      123.2   252.1866             BOSS          4
 281      13   14      145.6   252.1866               BA          4
 282      13   15      168.0   252.1866               BA          4
 283      12    0     -179.2   232.7876               BA          4
 284      12    1     -156.8   232.7876             BOSS          4
 285      12    2     -134.4   232.7876               BA          4
 286      12    3     -112.0   232.7876               BA          4
 287      12    4      -89.6   232.7876               BA          4
 288      12    5      -67.2   232.7876               BA          4
 289      12    6      -44.8   232.7876               BA          4
 290      12    7      -22.4   232.7876               BA          4
   0      12    8        0.0   232.7876         Fiducial         -1
 291      12    9       22.4   232.7876               BA          4
 292      12   10       44.8   232.7876               BA          4
 293      12   11       67.2   232.7876               BA          4
 294      12   12       89.6   232.7876               BA          4
 295      12   13      112.0   232.7876               BA          4
 296      12   14      134.4   232.7876               BA          4
 297      12   15      156.8   232.7876             BOSS          4
 298      12   16      179.2   232.7876               BA          4
 299      11    0     -190.4   213.3887               BA          4
 300      11    1     -168.0   213.3887             BOSS          4
 301      11    2     -145.6   213.3887               BA          4
   0      11    3     -123.2   213.3887         Fiducial         -1
 302      11    4     -100.8   213.3887             BOSS          4
 303      11    5      -78.4   213.3887             BOSS          4
   0      11    6      -56.0   213.3887         Fiducial         -1
 304      11    7      -33.6   213.3887             BOSS          4
 305      11    8      -11.2   213.3887             BOSS          4
 306      11    9       11.2   213.3887             BOSS          4
 307      11   10       33.6   213.3887             BOSS          4
   0      11   11       56.0   213.3887         Fiducial         -1
 308      11   12       78.4   213.3887             BOSS          4
 309      11   13      100.8   213.3887             BOSS          4
   0      11   14      123.2   213.3887         Fiducial         -1
 310      11   15      145.6   213.3887               BA          4
 311      11   16      168.0   213.3887             BOSS          4
 312      11   17      190.4   213.3887               BA          4
   0      10    0     -201.6   193.9897         Fiducial         -1
 313      10    1     -179.2   193.9897             BOSS          4
 314      10    2     -156.8   193.9897               BA          4
 315      10    3     -134.4   193.9897             BOSS          4
 316      10    4     -112.0   193.9897               BA          4
 317      10    5      -89.6   193.9897               BA          4
 318      10    6      -67.2   193.9897               BA          4
 319      10    7      -44.8   193.9897               BA          4
 320      10    8      -22.4   193.9897               BA          4
 321      10    9        0.0   193.9897               BA          4
 322      10   10       22.4   193.9897               BA          4
 323      10   11       44.8   193.9897               BA          4
 324      10   12       67.2   193.9897               BA          4
 325      10   13       89.6   193.9897               BA          4
 326      10   14      112.0   193.9897               BA          4
 327      10   15      134.4   193.9897             BOSS          4
 328      10   16      156.8   193.9897               BA          4
 329      10   17      179.2   193.9897             BOSS          4
   0      10   18      201.6   193.9897         Fiducial         -1
 330       9    0     -212.8   174.5907               BA          4
 331       9    1     -190.4   174.5907             BOSS          4
